feature,importance
day_of_year,815
discount_depth,724
sales_lag_1,605
sales_expanding_mean,598
day,594
sales_diff_7,566
temperature,565
cpi,494
discount,436
sales_lag_7,419
sales_lag_28,415
sales_rolling_min_28,411
fuel_price,407
sales_rolling_mean_7,407
sales_diff_1,392
unemployment,380
sales_lag_14,378
stock_level,365
category_encoded,348
month,329
sales_rolling_std_28,328
price,321
sales_pct_change_1,319
sales_rolling_min_7,312
sales_rolling_std_7,310
sales_expanding_std,304
competition_level,304
sales_rolling_min_14,278
sales_rolling_mean_28,253
sales_rolling_mean_14,250
sales_rolling_std_14,247
base_price,244
sales_rolling_max_7,242
days_to_month_end,214
month_sin,187
month_cos,175
week_of_year,171
sales_rolling_max_28,169
sales_rolling_max_14,136
region_encoded,116
day_of_month,106
is_holiday,91
store_size_encoded,71
location_type_encoded,46
temp_category_encoded,36
promotion,21
year,20
is_month_end,6
promo_holiday_interaction,4
quarter,4
is_month_start,4
is_quarter_end,1
is_year_start,0
is_year_end,0
is_quarter_start,0
is_weekend,0
day_of_week,0
dow_sin,0
dow_cos,0
weekend_promo_interaction,0
