feature,importance
sales_lag_1,0.41384843
sales_expanding_mean,0.23222737
sales_rolling_mean_7,0.09092949
sales_rolling_mean_28,0.0413366
store_size_encoded,0.018195946
sales_rolling_min_28,0.013233234
discount,0.012652894
sales_rolling_max_7,0.011932613
location_type_encoded,0.011904298
discount_depth,0.011701933
is_quarter_end,0.011552558
month,0.008095385
day_of_year,0.0072601954
week_of_year,0.0066643064
is_holiday,0.0060895127
sales_rolling_min_14,0.0053018723
quarter,0.0051995893
sales_diff_7,0.0048486535
day,0.004692974
base_price,0.0046874173
is_month_end,0.004633491
price,0.0043522487
sales_rolling_min_7,0.0038477858
region_encoded,0.003649293
day_of_month,0.0036056396
unemployment,0.00357542
month_cos,0.0033025984
sales_rolling_mean_14,0.0031561563
month_sin,0.0030772942
days_to_month_end,0.002855692
category_encoded,0.0023749527
sales_pct_change_1,0.002290686
sales_expanding_std,0.0022567806
competition_level,0.0021517158
year,0.002111027
cpi,0.0021059571
temperature,0.0020853924
sales_rolling_std_28,0.002082388
sales_rolling_std_7,0.0020480808
sales_rolling_max_14,0.002013253
stock_level,0.0019473848
sales_rolling_max_28,0.0018692911
sales_rolling_std_14,0.0017474954
fuel_price,0.0017015768
sales_lag_28,0.0016784366
sales_lag_7,0.001665852
temp_category_encoded,0.0016645561
sales_diff_1,0.0015922391
sales_lag_14,0.0015725602
is_month_start,0.0014486603
promo_holiday_interaction,0.0012362462
promotion,0.0010007063
is_quarter_start,0.0009437838
is_year_end,0.0
day_of_week,0.0
is_weekend,0.0
is_year_start,0.0
dow_sin,0.0
dow_cos,0.0
weekend_promo_interaction,0.0
